teamPosition,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,flawlessAces,fullTeamTakedown,gameLength,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsNearEnemyTurret,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,threeWardsOneSweeperCount,tookLargeDamageSurvived,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summonerLevel,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
TOP,0,226,0,16,0,0,0,0,0,1,1095.096477,0.289611765,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2161.403744,409.1576529,0,0,0,0,0,0,0,2.428571429,0,0.435897436,0,3,4,0,1,0,0,0,58,0,0,0,41.24999994,0,2,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,133,0,0,0,2,5,0,20,0,17,0,0,1,0,0,0,0.264535362,0,2,0,0,2,3,5,9,0,-0.461584449,0.276685961,0,0,2,0,0,7,0,0,0,0,17958,17,4,3,5533,5762,5533,66936,0,7,1,0,0,6,0,0,0,0,0,2,14739,13585,0,0,1,2,18,10,648,4,1,842,0,0,7923,0,16,0,0,0,2,0,173874,31668,32585,0,0,0,100,27,91,8,92,71,2161,191669,39449,0,46320,4170,0,197,215,280,1,0,17794,7780,5811,2,7,0,0,9,1,0,6,0
JUNGLE,0,415,0,72.00000009,0,0,600,1,0,0,712.0391037,0.192431337,0,8,14,0,3,0,0,0,0,102,12,0,0,1,1,0,3,2161.403744,429.8129577,0,9,2,0,44.00000006,0,1,2.625,0,0.538461538,0,3,0,0,2,0,0,0,1,0,0,0,4.00000003,0,1,-45.00000006,0,0,1,0,0,3,0,0,0,17,0,0,0,0,2,0,0,77,0,0,0,0,12,0,0,1,21,0,0,4,0,0,0,0.172002674,0,2,0,0,1,3,5,0,0,0.165892363,0.619702798,2,2,1,0,0,10,0,0,0,0,15243,16,3,1,2342,26798,2342,16778,0,8,0,1,2,0,0,0,0,0,1,1,15483,15350,0,1,1,2,20,11,729,4,2,750,36100,9953,6469,0,102,0,1,0,1,0,90067,12279,22955,0,0,0,61,86,68,200,274,46,2161,163508,25650,0,30777,1524,0,29,866,246,1,0,37339,3417,1352,2,7,0,0,22,0,2,12,0
MIDDLE,0,500,0,2.5,0,0,650,1,0,0,854.7595034,0.126326707,0,6,43,0,1,0,0,0,0,111,10,0,0,0,0,0,3,2161.403744,397.8737535,0,6,0,0,0,0,0,2.666666667,1,0.41025641,0,1,0,0,1,0,6,1,60,0,0,0,89,0,1,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,219,39,0,0,0,8,0,0,0,16,0,0,1,0,0,0,0.206478717,0,2,0,0,1,1,5,10,0,-0.369039774,0.624413908,4,0,0,0,0,11,0,0,0,0,18449,18,0,2,4041,7747,4041,10829,0,6,0,0,0,0,0,0,0,0,0,0,14332,14110,0,0,0,2,18,5,0,3,1,606,190140,26935,5904,0,14,0,0,0,0,0,14685,872,11825,0,0,0,231,192,68,9,214,36,2161,220704,30791,0,20204,1203,0,213,583,189,1,0,15878,2983,2474,1,7,0,0,22,0,4,8,0
BOTTOM,0,161,0,8.00000003,0,0,600,0,0,0,1117.574274,0.16627708,0,10,35,0,1,0,0,0,0,12,0,0,1,0,0,0,3,2161.403744,398.8429858,0,3,0,0,0,0,0,2.9,1,0.743589744,0,2,2,0,0,0,0,0,44,0,0,0,8,0,2,0,0,0,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,179,12,0,0,0,5,0,0,0,29,0,0,9,0,0,0,0.269965178,0,2,0,0,5,1,5,6,0,-0.074751258,0.682254283,6,4,0,0,0,18,0,0,0,0,14689,15,5,1,2051,4884,2051,13836,0,10,0,2,1,5,4,0,0,0,0,0,14367,16880,0,0,1,2,20,11,353,5,2,461,4250,3450,9236,0,12,0,0,0,0,0,133413,32460,15063,0,0,0,30,104,13,14,197,85,2161,150877,40258,0,26594,943,0,164,957,327,1,0,13213,4348,2294,0,7,0,0,24,0,6,6,0
UTILITY,2,232,0,0,0,0,0,0,0,4,360.2285136,0.225353111,0,11,23,0,0,0,10939.13477,0,0,41,0,0,0,0,0,0,3,2161.403744,272.7329664,0,13,0,0,0,0,0,2.818181818,2,0.794871795,0,1,0,0,0,0,0,0,16,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,1,0,122,1,0,0,1,18,0,1,0,31,0,0,10,0,0,0,0.087018069,0,2,0,0,4,2,5,1,0,0.009022951,1.590838147,2,1,1,0,34,29,0,0,0,0,13622,15,0,8,890,890,890,48881,0,11,4,0,0,23,3,0,0,0,0,0,9824,8800,0,0,1,2,26,2,0,2,1,470,16408,7345,7820,0,0,0,0,0,34,0,13088,3610,24476,0,0,0,113,29,81,9,282,73,2161,38017,12976,1814,36043,18369,9125,42,311,310,8,0,8520,2020,3745,0,7,0,0,57,4,2,22,0
TOP,0,189,0,8.00000006,0,0,0,1,0,0,562.7138383,0.243185736,0,7,6,0,0,0,0,0,0,92,4,0,0,0,0,1,2,2161.403744,313.0324872,0,4,0,0,0,0,0,1.428571429,1,0.238095238,0,0,0,0,0,0,5,0,57,0,0,1,15,5,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,33,0,0,0,0,11,0,6,0,10,0,0,0,0,0,2,0.157380331,0,0,0,0,2,2,0,7,0,0.857301474,0.513889238,0,0,1,0,1,9,0,0,0,0,16551,17,0,1,6457,6457,6457,60522,0,7,0,0,0,6,0,0,0,0,0,2,11276,11600,0,0,0,1,20,1,0,0,1,624,0,0,12439,0,16,0,0,0,0,0,118277,14328,28375,0,0,0,87,32,61,9,68,29,2161,139466,20270,0,46090,7072,0,155,517,241,1,0,21188,5942,5275,2,6,0,0,18,0,0,11,1
JUNGLE,0,337,0,111.5000002,2,0,150,0,0,1,628.477686,0.223850153,0,8,2,0,2,0,0,0,0,28,0,0,0,0,0,1,2,2161.403744,386.7467074,0,9,2,2,64.00000006,0,0,2.625,1,0.5,0,1,0,0,1,0,1,2,5,0,0,1,75.75000015,5,3,-37.00000006,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,4,18,23,0,0,1,0,0,5,0,21,1,0,4,0,0,2,0.175773225,0,0,0,0,0,0,0,1,0,-0.14228791,0.531526578,4,4,1,0,3,15,0,2,0,0,17022,17,3,2,0,26809,0,37897,0,8,1,0,2,1,0,0,0,0,0,0,13931,13675,0,0,0,1,26,6,302,2,1,418,7714,2047,11224,0,150,0,0,0,16,0,176312,18097,24983,0,0,0,159,106,49,23,187,29,2161,219791,22639,0,42425,8442,0,42,241,271,1,0,35764,2494,6218,0,6,0,0,19,1,4,1,1
MIDDLE,0,259,0,0,0,0,450,0,0,5,632.0724093,0.196839134,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2161.403744,350.8387824,0,0,0,0,0,0,0,2.714285714,0,0.452380952,0,1,1,0,2,0,0,6,52,0,0,1,3,5,1,0,0,0,1,0,0,2,0,0,0,11,0,0,0,0,0,0,1,34,47,0,0,3,10,1,18,0,19,2,0,2,0,0,2,0.176778601,0,0,0,0,1,0,0,6,0,0.584885955,0.989624827,1,0,0,0,8,10,1,0,0,1,17801,17,0,14,632,2921,632,27543,0,7,5,1,0,21,1,0,0,0,0,0,12638,11525,2,0,1,1,33,9,0,5,2,994,80820,19171,10436,0,4,0,0,0,3,0,17945,1931,22569,1,0,0,141,22,74,22,338,0,2161,100433,22769,0,37306,4101,0,140,45,312,1,0,1668,1666,4300,0,6,0,0,35,6,1,15,1
BOTTOM,0,221,0,4,2,0,1050,0,0,0,1265.566746,0.167877845,0,10,6,0,1,0,1114.400024,0,0,0,4.00000003,0,0,0,0,1,2,2161.403744,574.4124531,0,0,0,0,0,1,0,2.9,2,0.69047619,0,5,3,0,1,0,0,3,56,0,1,1,80,5,3,0,0,0,5,2,0,5,0,0,0,15,0,0,0,1,0,0,3,34,24,0,0,5,11,0,4,0,29,2,0,5,0,0,2,0.353954888,0,0,0,0,1,4,0,9,0,0.080790401,0.737373898,5,2,1,0,0,7,0,0,0,4,18992,18,0,2,11092,46205,11092,18337,0,10,0,4,0,0,0,1,0,0,0,0,20692,17600,0,2,2,1,24,22,857,9,3,364,27415,7944,8925,0,20,1,0,0,0,0,253607,32910,20324,0,0,0,109,41,62,9,163,8,2161,301690,45590,0,31817,6436,1114,230,135,325,4,1,20668,4734,2566,4,6,0,0,26,0,5,11,1
UTILITY,0,191,0,5.5,2,0,675,0,0,0,486.6722733,0.168247132,0,7,7,0,1,0,4776.952148,0,0,37,0,0,0,0,0,1,2,2161.403744,332.5539261,0,8,0,0,0,0,0,3.857142857,0,0.642857143,0,1,0,0,0,0,0,0,19,0,0,1,19,5,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,42,0,0,0,1,32,0,15,0,27,0,0,4,0,0,2,0.136112955,0,0,0,0,0,2,0,1,0,-0.008942306,1.576612426,1,1,1,0,14,23,0,0,0,1,16373,16,1,2,1133,5963,1133,60218,0,7,0,0,0,17,0,0,1,0,0,2,11979,9450,0,0,0,1,22,4,0,2,1,767,15154,5090,8208,0,11,1,0,0,6,0,33312,11599,21118,0,0,0,89,35,59,8,141,63,2161,56167,17531,4776,31887,4475,0,47,221,160,1,0,7701,841,2560,0,6,0,0,56,0,1,32,1
